사고장소,사고 발생 횟수
서울특별시 강동구 둔촌동 동남로49길,1
서울특별시 강동구 둔촌동 양재대로,2
서울특별시 강동구 둔촌동 양재대로84길,1
서울특별시 강동구 둔촌동 진황도로,1
서울특별시 강동구 둔촌동 천호대로,2
서울특별시 강동구 명일동 고덕로,1
서울특별시 강동구 명일동 구천면로,1
서울특별시 강동구 명일동 동남로,2
서울특별시 강동구 명일동 동남로75길,1
서울특별시 강동구 명일동 명일로,1
서울특별시 강동구 명일동 상암로,2
서울특별시 강동구 명일동 양재대로,4
서울특별시 강동구 상일동 고덕로,1
서울특별시 강동구 상일동 고덕로80길,1
서울특별시 강동구 상일동 구천면로,1
서울특별시 강동구 상일동 동남로,1
서울특별시 강동구 상일동 상일로,1
서울특별시 강동구 상일동 상일로10길,1
서울특별시 강동구 상일동 상일로6길,1
서울특별시 강동구 상일동 수도권제1순환고속도로,1
서울특별시 강동구 상일동 천호대로,3
서울특별시 강동구 상일동 천호대로219길,1
서울특별시 강동구 상일동 초이로,1
서울특별시 강동구 성내동 강동대로,6
서울특별시 강동구 성내동 강동대로53길,1
서울특별시 강동구 성내동 강동대로55길,1
서울특별시 강동구 성내동 성내로,5
서울특별시 강동구 성내동 성내로14길,1
서울특별시 강동구 성내동 성안로,8
서울특별시 강동구 성내동 성안로3길,1
서울특별시 강동구 성내동 양재대로,3
서울특별시 강동구 성내동 올림픽로,3
서울특별시 강동구 성내동 천호대로,8
서울특별시 강동구 성내동 천호대로162길,2
서울특별시 강동구 성내동 풍성로,5
서울특별시 강동구 성내동 풍성로54길,2
서울특별시 강동구 암사동 고덕로,1
서울특별시 강동구 암사동 구천면로,1
서울특별시 강동구 암사동 상암로,4
서울특별시 강동구 암사동 선사로,1
서울특별시 강동구 암사동 암사길,4
서울특별시 강동구 암사동 올림픽대로,1
서울특별시 강동구 암사동 올림픽로,1
서울특별시 강동구 천호동 구천면로,12
서울특별시 강동구 천호동 상암로,5
서울특별시 강동구 천호동 선사로,3
서울특별시 강동구 천호동 성안로,2
서울특별시 강동구 천호동 양재대로,3
서울특별시 강동구 천호동 올림픽로,9
서울특별시 강동구 천호동 올림픽로92길,2
서울특별시 강동구 천호동 진황도로,2
서울특별시 강동구 천호동 천중로,8
서울특별시 강동구 천호동 천호대로,7
서울특별시 강동구 천호동 천호대로151길,1
서울특별시 강북구 미아동 노해로,1
서울특별시 강북구 미아동 덕릉로,1
서울특별시 강북구 미아동 도봉로,18
서울특별시 강북구 미아동 도봉로50길,2
서울특별시 강북구 미아동 도봉로67길,2
서울특별시 강북구 미아동 도봉로8길,1
서울특별시 강북구 미아동 삼양로,8
서울특별시 강북구 미아동 삼양로58길,1
서울특별시 강북구 미아동 솔매로,3
서울특별시 강북구 미아동 솔매로49길,1
서울특별시 강북구 미아동 솔샘로,5
서울특별시 강북구 미아동 솔샘로48길,1
서울특별시 강북구 미아동 숭인로,2
서울특별시 강북구 미아동 오패산로,4
서울특별시 강북구 미아동 오패산로52사길,1
서울특별시 강북구 미아동 오현로,2
서울특별시 강북구 미아동 오현로9길,1
서울특별시 강북구 미아동 월계로,4
서울특별시 강북구 미아동 월계로21나길,1
서울특별시 강북구 미아동 인수봉로,2
서울특별시 강북구 번동 덕릉로,2
서울특별시 강북구 번동 도봉로,6
서울특별시 강북구 번동 돌곶이로,1
서울특별시 강북구 번동 오패산로,1
서울특별시 강북구 번동 오현로,1
서울특별시 강북구 번동 오현로31길,1
서울특별시 강북구 번동 오현로32길,3
서울특별시 강북구 번동 오현로34길,1
서울특별시 강북구 번동 월계로,5
서울특별시 강북구 번동 한천로,6
서울특별시 강북구 번동 한천로105길,1
서울특별시 강북구 번동 한천로109길,4
서울특별시 강북구 번동 한천로132길,2
서울특별시 강북구 수유동 4.19로,1
서울특별시 강북구 수유동 노해로,7
서울특별시 강북구 수유동 덕릉로,2
서울특별시 강북구 수유동 덕릉로19길,3
서울특별시 강북구 수유동 도봉로,6
서울특별시 강북구 수유동 도봉로77길,2
서울특별시 강북구 수유동 삼각산로,2
서울특별시 강북구 수유동 삼양로,6
서울특별시 강북구 수유동 솔매로45길,1
서울특별시 강북구 수유동 수유로,2
서울특별시 강북구 수유동 인수봉로,2
서울특별시 강북구 수유동 한천로,7
서울특별시 강북구 수유동 한천로139길,3
서울특별시 강북구 수유동 한천로159길,1
서울특별시 강북구 우이동 삼양로,6
서울특별시 강북구 우이동 삼양로173길,1
서울특별시 강서구 가양동 곰달래로,1
서울특별시 강서구 가양동 공항대로,1
서울특별시 강서구 가양동 양천로,4
서울특별시 강서구 가양동 양천로47길,1
서울특별시 강서구 가양동 양천로49길,2
서울특별시 강서구 가양동 양천로55길,1
서울특별시 강서구 가양동 양천로57길,1
서울특별시 강서구 가양동 올림픽대로,2
서울특별시 강서구 가양동 허준로,2
서울특별시 강서구 가양동 화곡로,1
서울특별시 강서구 가양동 화곡로73길,1
서울특별시 강서구 개화동 개화동로,4
서울특별시 강서구 개화동 금포로,1
서울특별시 강서구 개화동 김포대로,1
서울특별시 강서구 공항동 공항대로,6
서울특별시 강서구 공항동 남부순환로,1
서울특별시 강서구 공항동 발산로,1
서울특별시 강서구 공항동 수원문산고속도로,2
서울특별시 강서구 공항동 오정로,1
서울특별시 강서구 내발산동 강서로,2
서울특별시 강서구 내발산동 공항대로,1
서울특별시 강서구 내발산동 공항대로42길,1
서울특별시 강서구 내발산동 수명로,1
서울특별시 강서구 등촌동 강서로,1
서울특별시 강서구 등촌동 강서로56길,1
서울특별시 강서구 등촌동 강서로68길,1
서울특별시 강서구 등촌동 공항대로,5
서울특별시 강서구 등촌동 공항대로39길,1
서울특별시 강서구 등촌동 공항대로41길,1
서울특별시 강서구 등촌동 공항대로43길,1
서울특별시 강서구 등촌동 공항대로45길,1
서울특별시 강서구 등촌동 공항대로59길,1
서울특별시 강서구 등촌동 등촌로,1
서울특별시 강서구 등촌동 등촌로51길,2
서울특별시 강서구 등촌동 양천로,3
서울특별시 강서구 등촌동 화곡로,4
서울특별시 강서구 등촌동 화곡로65길,1
서울특별시 강서구 등촌동 화곡로69길,2
서울특별시 강서구 마곡동 공항대로,4
서울특별시 강서구 마곡동 마곡서로,1
서울특별시 강서구 마곡동 마곡중앙10로,1
서울특별시 강서구 마곡동 마곡중앙12로,1
서울특별시 강서구 마곡동 마곡중앙1로,2
서울특별시 강서구 마곡동 마곡중앙5로,1
서울특별시 강서구 마곡동 마곡중앙5로1길,1
서울특별시 강서구 마곡동 마곡중앙6로,5
서울특별시 강서구 마곡동 마곡중앙8로1길,1
서울특별시 강서구 마곡동 마곡중앙로,1
서울특별시 강서구 마곡동 양천로,2
서울특별시 강서구 방화동 개화동로,1
서울특별시 강서구 방화동 공항대로,1
서울특별시 강서구 방화동 금낭화로,5
서울특별시 강서구 방화동 방화대로,1
서울특별시 강서구 방화동 방화대로47가길,1
서울특별시 강서구 방화동 방화동로,4
서울특별시 강서구 방화동 수원문산고속도로,2
서울특별시 강서구 방화동 양천로,4
서울특별시 강서구 방화동 양천로24길,3
서울특별시 강서구 방화동 양천로27길,2
서울특별시 강서구 방화동 초원로,2
서울특별시 강서구 방화동 초원로16길,1
서울특별시 강서구 방화동 하늘길,1
서울특별시 강서구 염창동 공항대로,1
서울특별시 강서구 염창동 공항대로59다길,1
서울특별시 강서구 염창동 목동중앙본로,1
서울특별시 강서구 염창동 양천로,4
서울특별시 강서구 염창동 올림픽대로,2
서울특별시 강서구 외발산동 오정로,1
서울특별시 강서구 화곡동 가로공원로,2
서울특별시 강서구 화곡동 가로공원로76길,1
서울특별시 강서구 화곡동 강서로,7
서울특별시 강서구 화곡동 강서로17길,2
서울특별시 강서구 화곡동 강서로18길,2
서울특별시 강서구 화곡동 강서로18다길,1
서울특별시 강서구 화곡동 강서로41길,1
서울특별시 강서구 화곡동 강서로5길,1
서울특별시 강서구 화곡동 강서로5나길,2
서울특별시 강서구 화곡동 곰달래로,10
서울특별시 강서구 화곡동 곰달래로31길,1
서울특별시 강서구 화곡동 곰달래로49길,4
서울특별시 강서구 화곡동 곰달래로53길,3
서울특별시 강서구 화곡동 공항대로,1
서울특별시 강서구 화곡동 국회대로7길,3
서울특별시 강서구 화곡동 까치산로,4
서울특별시 강서구 화곡동 등촌로,1
서울특별시 강서구 화곡동 등촌로13길,1
