,사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
189,2019040000000000.0,2019년 4월 7일 01시,일요일,서울특별시 서초구 서초동,서초대로,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,남,64세,상해없음,승용,남,65세,경상
190,2019030000000000.0,2019년 3월 14일 20시,목요일,서울특별시 서초구 서초동,사평대로56길,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,승용,남,65세,경상
191,2019060000000000.0,2019년 6월 9일 12시,일요일,서울특별시 서초구 서초동,서초중앙로,경상사고,0,0,1,0,차대사람 - 보도통행중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,47세,기타불명,보행자,여,65세,경상
192,2019100000000000.0,2019년 10월 31일 20시,목요일,서울특별시 서초구 서초동,사평대로,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,승합,남,54세,상해없음,보행자,여,65세,경상
193,2019030000000000.0,2019년 3월 15일 17시,금요일,서울특별시 서초구 서초동,효령로,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,65세,경상
194,2019010000000000.0,2019년 1월 1일 15시,화요일,서울특별시 서초구 서초동,경부고속도로,중상사고,0,2,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,65세,경상
195,2019100000000000.0,2019년 10월 28일 05시,월요일,서울특별시 서초구 서초동,경부고속도로,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,여,72세,부상신고,승용,남,65세,상해없음
196,2019100000000000.0,2019년 10월 4일 15시,금요일,서울특별시 서초구 서초동,서초대로,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,경상,승용,남,65세,상해없음
197,2019080000000000.0,2019년 8월 30일 11시,금요일,서울특별시 서초구 신원동,청계산로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,29세,중상,승용,남,65세,상해없음
0,2019080000000000.0,2019년 8월 24일 15시,토요일,서울특별시 성동구 행당동,고산자로,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,45세,상해없음,보행자,남,90세 이상,경상
